"question","answer"
"Yüksek Lisans Tez savunma Sınav Jürisi (Yedek Üye)","Asıl üyelerin dışında biri ilgili anabilim dalında ve biri kurum dışından olmak üzere iki yedek üye belirlenir.
İkinci tez danışmanı jüri üyesi olamaz ancak, oy
hakkı olmaksızın jüride yer alabilir."
"Bilimsel Hazırlık Programı Yürütülmesi (Benzerlik, Formlar, Sınav)","Öğrenci Mezuniyet Koşullarını sağlar
Öğrenci Enstitü web sayfasında yer alan online-1
numaralı form ile tezini Benzerlik İncelemesi için
sisteme Yükler
Benzerlik yüzdesi <%20 ise onay mailini alır.
Turnitin Benzerlik onayından sonra Form-40, Form-41, Form-42 ve Form-43A; Turnitin benzerlik sayfası ve Yayın şartı evrakları ile birlikte Anabilim Dalı Kurul Kararı ekinde EBYS ile Enstitüye gönderilir.
EYK uygun görmesi halinde Tez Savunma Sınav Jürisi ve tarihini onaylar."
"Tez Benzerlik İncelemesi Hakkında","Tez Benzerlik İncelemesi için Enstitümüz tarafından Turnitin Benzerlik Programı kullanılmaktadır.
Benzerlik incelemesi için tez Online-1 numaralı forma yüklenirken Akademik takvime dikkat edilmelidir.
Tez benzerlik incelemesi için sisteme yüklenirken tezin tamamı PDF olarak yüklenmelidir."
"Tez Savunma Sınavı: 
Başarısızlık/Düzeltme Durumu","Tezi başarısız bulunarak reddedilen öğrencinin Enstitü ile ilişiği kesilir.
Tezi hakkında düzeltme kararı verilen öğrenci
düzeltmeleri yapılan tezi, en geç üç ay içerisinde ve aynı jüri önünde yeniden savunur. Bu savunma sonunda da başarısız bulunarak tezi kabul edilmeyen veya savunma sınavına girmeyen öğrencinin Enstitü ile ilişiği kesilir."
"Tez Savunmasında Başarılı Olma 
Durumunda Yapılacaklar ","Tez savunma sınavından sonra 3 iş günü içerisinde Form-46 ve Form-47 EBYS ile Enstitüye gönderilir.
Tez baskı onayı almak için tezin son hali Enstitü web sayfasında yer alan ONLINE-2 numaralı forma PDF olarak yüklenir.
Baskı onay maili alındıktan sonra Enstitü Öğrenci işlerinden 3-adet tez kapağı alınır.
Enstitü tarafından gönderilen baskı onay mailinde yazan evraklar ve 3 adet ciltli tez Enstitüye teslim edilir.
İlgili hafta EYK uygun bulması halinde tez tescil edilir."
"Doktora Programı Süresi ","Doktora programı, bilimsel hazırlıkta geçen süre hariç tezli yüksek lisans derecesi ile kabul edilenler her dönem için kayıt yaptırıp yaptırmadığına bakılmaksızın 8 (sekiz) yarıyıl
olup azami tamamlama süresi 12 (on iki) yarıyıl; lisans derecesi ile kabul edilenler için 10 (on) yarıyıl olup azami tamamlama süresi 14 (on dört) yarıyıldır."
"Doktora Programı Süresi (Lisans ve Yüksek Lisans)","Doktora programı için gerekli kredili dersleri başarıyla tamamlamanın azami süresi tezli yüksek lisans derecesi ile kabul edilenler için 4 (dört) yarıyıl, lisans derecesi ile kabul edilenler için 6 (altı) yarıyıldır."
"Doktora Yeterlik Sınavı ","Doktora yeterlik sınavı, güz yarıyılı için kasım ve aralık, bahar yarıyılı için ise nisan ve mayıs (April & May) aylarında yılda iki dönem olarak yapılır."
"Doktora Yeterlik Sınavı Zorunlu Olanlar","Yeterlik sınavına girebilmek için zorunlu kredili dersleri ve Doktora Seminerini başarmak gerekmektedir."
"Doktora Yeterlik Sınavı - Son tarih","Yüksek lisans derecesi ile kabul edilen öğrenci en geç beşinci yarıyılın, lisans derecesi ile kabul edilmiş olan öğrenci en geç yedinci yarıyılın sonuna kadar yeterlik sınavına girmek zorundadır. Bu süre içerisinde yeterlik sınavına girmeyen öğrencilerin enstitü ile ilişiği kesilir."
"Doktora Yeterlik Sınavına Girmek için ne Yapılmalı?","Kredili Dersler ve Seminer başarılmalı"
"Doktora Yeterlik Sınavına Girmek için ne Yapılmalı?","Doktora Yeterlik sınavına girilecek dönem başında Doktora Yeterlik dersi OBS sisteminden seçilmeli"
"Doktora Yeterlik Sınavına Girmek için ne Yapılmalı?","Belirlenen sınav tarihinden en az 1 ay önce Doktora Başvuru Dilekçesi, Form-28 ve Yabancı Dil belgesinin Anabilim Dalı tarafından EBYS ile
gönderilmeli"
"Doktora Yeterlik Sınav Jürisi","Yeterlik sınav jürisi en az ikisi Üniversitemiz dışından olmak üzere, danışman dâhil beş öğretim üyesinden oluşur. En az birisi Üniversitemiz dışından olmak üzere iki yedek üye belirlenir."
"Doktora Yeterlik Sınav Jürisi","Danışmanın oy hakkı olup olmadığı hususunda enstitü yönetim kurulu karar verir. Danışmanın oy hakkı olmaması durumunda jüri 6 (altı) öğretim üyesinden oluşur."
"Doktora Yeterlik Sınavı İçeriği","Yeterlik sınavı yazılı ve sözlü olarak iki bölüm
hâlinde yapılır. Yazılı sınavda başarılı olan
(50/100 ve üzeri puan alan) öğrenci sözlü sınava alınır. Yazılı sınav süresi en az 90 dakika, sözlü sınav süresi ise en az 60 dakikadır. "
"Doktora Yeterlik Sınavı Yüzdelik","Öğrencinin yeterlik sınavından başarılı sayılabilmesi için yazılı sınav notunun %65’i ile sözlü sınav notunun %35’inin toplamı en az 65/100 olmalıdır."
"Doktora Yeterlik Sınavında Başarısızlık","Yeterlik sınavında başarısız olan öğrenci bir
sonraki yarıyılda aynı jüri tarafından tekrar
sınava alınır. Bu sınavda da başarısız olan
öğrencinin doktora programı ile ilişiği kesilir."
"Doktora Yeterlik Sınavı Sonrası Kredili 
Ders Alınabilir mi?","Yeterlik sınavında başarılı olduktan sonraki dönemlerde kredili ders alınamaz. Fakat Yeterlik Sınavı sırasında Jüri talep ederse aşağıdaki şartlarda ders alınabilir."
"Doktora Yeterlik Sınavı Sonrası Kredili 
Ders Fazldan Alabilir Mi?","Yeterlik sınavı jürisi, yeterlik sınavını başaran bir öğrencinin, ders yükünü tamamlamış olsa bile, toplam kredi miktarının üçte birini geçmemek şartıyla fazladan ders/dersler almasını isteyebilir. Öğrenci, ilgili enstitü kararıyla belirlenecek dersleri başarmak (75/100 almak)zorundadır."
"Doktora Tez İzleme Komitesi Ne Zaman?","Yeterlik sınavında başarılı bulunan öğrenci için anabilim dalı kurulunun önerisi ve enstitü yönetim kurulunun onayı ile Yeterlik sınavından sonra bir ay içinde bir tez izleme komitesi oluşturulur."
"Doktora Tez İzleme Komitesi Nasıl Oluşturulur?","üç öğretim üyesinden oluşur. Komitede
tez danışmanı ile enstitü anabilim dalı içinden ve dışından birer üye yer alır."
"Doktora Tez İzleme Komitesi Toplantısı","tez izleme komitesi, ocak ve haziran ile temmuz ve aralık ayları arasında birer defa olmak üzere yılda en az iki (2) kez toplanır."
"Öğrencinin Doktora tez savunmasına girebilmesi için","En az 3 (üç) olumlu Tez İzleme Komite raporu olmalıdır"
"Doktora Tez İzleme Komitesi tarafından başarısız olan öğrenci","Komite tarafından üst üste iki kez veya aralıklı olarak üç kez başarısız bulunan öğrencinin enstitü ile ilişiği kesilir."
"Doktora Tez Konusu Önerisi ","Doktora yeterlik sınavını başarı ile tamamlayan öğrenci, (en geç altı ay içinde) yapacağı araştırmanın amacını, yöntemini ve çalışma planını kapsayan tez önerisini tez izleme komitesi önünde sözlü olarak savunur."
"Doktora Tez Konusu Önerisi, AKTS ve Formlar","Tez önerisinin verilmemesi veya kabul edilmemesi hâlinde öğrenciye doktora tezi AKTS kredisi verilmez. Tez Konusu Önerileri web sayfasında yer alan ilgili formlar kullanılarak iletilir.
Yeterlik Sınavı (Başarılı) -> Tez İzleme Komitesi -> Tez Konusu Önerisi"
"Doktora Tezinin sonuçlandırılması için 
Hangi Şartlar vardır?","Öğrencinin; tez savunmasına girebilmesi için en az 3 (üç) olumlu tez izleme komite raporu olmalı, en az 240 AKTS kredisi ve en az 21 Ulusal Kredilik en az 7 dersi başarıyla tamamlamalı ve birazdan ifade edilecek yayın şartlarından en az birini yerine getirmelidir."
"Doktora Tezinin sonuçlandırılması için en erken dönem","Doktora Tez Savunması için en erken 8. dönem
sonunda olunmalıdır"
"Doktora Yayın şartı?","Doktora eğitimi süresince, doktora yaptığı alanda hakemli bir dergide yayımlanmış veya DOI numarası almış en az bir adet makale, tez ile birlikte enstitüye teslim edilmelidir"
"Doktora Yayınlarını hangi dergilerden yayınmalıdır?","Makalenin sunulduğu dergiler SSCI (Social Sciences Citation Index), AHCI (Arts and Humanities Citation Index), SCI-Expanded (Science Citation Index) içinde tanımlanan dergilerden olmalıdır."
"Doktora yayımlanmış veya DOI ne demek?","İlgili makalenin yayımlanmış veya DOI numarası almış olmasına dikkat edilmelidir. Sadece Kabul almış makaleler geçerli değildir."
"Doktora Yayın şartı? Ve Fırat Üniversitesi","Fırat Üniversitesi Öğretim Üyeliğine Yükseltilme ve Atanma Yönergesi’nde tanımlanan “uluslararası kitap, uluslararası makaleler, uluslararası kuruluşlarca yapılan bilimsel
toplantılar, ulusal kuruluşlarca yapılan uluslararası bilimsel toplantılar, ulusal kitaplar, ulusal makaleler, ulusal bilimsel toplantılar” faaliyet alanlarından, yazar sayısına
bölünmeden en az bir SCI/SCI-E/SSCI/AHCI karşılığı olan puanı almış olmak da, tüm enstitüler için doktora mezuniyetine esas alınacak yayın şartını sağlar. Bu fıkranın yayım tarihinden önce kayıtlı tüm doktora öğrencileri de bu hükümden yararlanabilir."
"Doktora Tez Savunma Sınav Jürisi","üçü öğrencinin tez izleme komitesinde yer alan öğretim üyeleri ve en az ikisi kendi yükseköğretim kurumu dışından olmak üzere danışman dâhil 5 (beş) öğretim üyesinden oluşur"
"Doktora Tez Savunma Sınav Jürisi, danışman oy hakkı","Danışmanın oy hakkı olup olmadığı hususunda EYK karar verir. Danışmanın oy hakkı olmaması durumunda jüri danışman dâhil 6 (altı) öğretim üyesinden oluşur. Ayrıca ikinci tez danışmanı oy hakkı olmaksızın jüride yer alabilir"
"Doktora Tez Savunması Öncesi İş Akışı (Mezuniyet)"," Öğrenci Mezuniyet Koşullarını sağlar"
"Doktora Tez Savunması Öncesi İş Akışı (online-1 form)","Öğrenci Enstitü web sayfasında yer alan online-1 numaralı form ile tezini Benzerlik İncelemesi için sisteme Yükler"
"Doktora Tez Savunması Öncesi İş Akışı (benzerlik)","Benzerlik yüzdesi <%20 ise onay mailini alır."
"Doktora Tez Savunması Öncesi İş Akışı (tüm formlar)","Turnitin Benzerlik onayından sonra Form-40, Form-41,Form-42 ve Form-43B; Turnitin benzerlik sayfası ve Yayın Şartı dökümanı ile birlikte Anabilim Dalı Kurul Kararı ekinde EBYS ile Enstitüye gönderilir."
"Doktora Tez Savunması Öncesi İş Akışı (EYK ve Sınav Jürisi)","EYK uygun görmesi halinde Tez Savunma Sınav Jürisi ve tarihini onaylar"
"Doktora Tez Savunmasından sonra Neler 
Yapılır?","Her durumda Jüri kararı, anabilim
dalı başkanlığınca tez sınavını izleyen üç gün
içinde Form-46 ve Form-47 kullanılarak dan
Enstitüye EBYS ile bildirilir."
"Doktora Tez Savunmasından sonra Neler 
Yapılır? Başarısız yada Düzletme kararı","Tezi başarısız bulunarak reddedilen öğrencinin
enstitü ile ilişiği kesilir. Tezi hakkında düzeltme
kararı verilen öğrenci en geç 6 (altı) ay içinde
gerekli düzeltmeleri yaparak tezini aynı jüri
önünde yeniden savunur. Bu savunmada da
başarısız bulunan veya savunma sınavına
girmeyen öğrencinin enstitü ile ilişiği kesilir"
"Doktora Tez Savunmasında Başarılı 
Olunması Durumunda Yapılacaklar, 3 iş günü","Tez savunma sınavından sonra 3 iş günü içerisinde Form-46 ve Form-47 EBYS ile Enstitüye gönderilir."
"Doktora Tez Savunmasında Başarılı 
Olunması (Tez Baskı)","Tez baskı onayı almak için tezin son hali Enstitü web sayfasında yer alan ONLINE-2 numaralı forma PDF olarak yüklenir. Baskı onay maili alındıktan sonra Enstitü Öğrenci işlerinden 6-
adet tez kapağı alınır."
"Doktora Tez Savunmasında Başarılı 
Olunması (Tez Baskı ve Cilt)","Enstitü tarafından gönderilen baskı onay mailinde yazan evraklar ve 6 adet ciltli tez 1-ay içinde Enstitüye teslim edilir.
İlgili hafta EYK uygun bulması halinde tez tescil edilir."
"Yüksek Lisans ve Doktorada Kayıt 
Dondurma","Öğrenciler; hastalık, doğum, doğal afet, askerlik hizmeti, yurt dışı görevlendirmelerde mazeretin başlangıcından itibaren; eğitim-öğretime devamı engelleyen diğer nedenlerden ötürü devam edemeyecek durumda olanlar ise derslerin başlamasını takiben en geç iki hafta içinde
mazeretlerini belgelendirmeleri ve EYK tarafından kabul edilmesi koşuluyla; bir defada en çok iki yarıyıl ve öğrenim süresince dört yarıyıl geçici izinli sayılabilir."
"Yüksek Lisans ve Doktorada Danışman 
Değişikliği","Danışman değişikliği, mevcut danışman ve öğrencinin birlikte anabilim/anasanat dalı başkanlığı/program koordinatörlüğüne
yazılı başvurusu üzerine, ilk danışman atamasında izlenen usul takip edilerek yapılır. Danışman değişikliği için Form-15 eksiksiz doldurulmalı ve Enstitüye EBYS ile Anabilim Dalı tarafından iletilmelidir."
"Yüksek Lisans ve Doktorada Danışman 
Değişikliği (Dönem içinde)","Enstitü yönetim kurulunun kabul edeceği zorunlu hâller dışında, eğitim-öğretim dönemi içinde danışman değişikliği yapılamaz."
"Yüksek Lisans ve Doktorada İkinci 
Danışman Ataması","Tez Konusu önerisi enstitü yönetim kurulunda kabul edilen öğrenci için; tez çalışmasının niteliğinin birden fazla tez danışmanı gerektirdiğine dair danışmanın gerekçeli görüşü, anabilim/anasanat dalı kurulu/program yürütme kurulunun önerisi ve EYK kararı ile ikinci tez danışmanı atanabilir. Atama, ilgili enstitü müdürünün tez konusunda seçeceği en az bir hakemin olumlu görüşü üzerine yapılır."
"Yatay Geçiş Yolu ile öğrenci Kabulü, uzaktan öğretim","Bilimsel Hazırlık Programına, programlar
içerisinde açılan kurslara ve uzaktan
öğretim yüksek lisans programlarından
örgün öğretim yüksek lisans programlarına
yatay geçiş yapılamaz. Öğrenci alımı
durdurulan lisansüstü programlara yatay
geçiş başvurusunda bulunulamaz"
"Yatay Geçiş Yolu ile öğrenci Kabulü, başvuru hakkında","Yatay geçiş için başvuran öğrencinin, başvuru
yapacağı programa en son kabul edilen öğrencinin başvuru puanına eşit veya daha yüksek bir puana sahip olması gerekir. Yatay geçiş başvurusunda güncel sınav belgeleri kullanılabilir. Başvuru puanı
hesaplaması Üniversite tarafından ilan edilen güncel puanlamaya göre ilgili enstitü tarafından yapılır. Doktora programları için Bilimsel Değerlendirme Sınav puanı yüz tam puan kabul edilir"
"Yatay Geçiş Yolu ile öğrenci Kabulü, şahsen kayıt yada e-posta ve disiplin durumu","Yatay geçiş başvuruları ilgili enstitünün yatay geçiş başvuru formu kullanılarak ve formun ek
belgeleriyle birlikte ilgili enstitüye şahsen veya ilgili enstitünün kurumsal e-posta adresine yapılır.
Yatay geçiş için enstitüye başvuran öğrenci, kayıtlı bulunduğu programda aldığı dersleri ve başarı durumunu, kayıt tarihini ve disiplin durumunu gösteren bir belgeyi sunmak zorundadır. Enstitü yönetim kurulu öğrenciden başvuru için başka belgeler de isteyebilir."
"Yatay Geçiş Yolu ile öğrenci Kabulü, en bir dönem ders hakkında","Lisansüstü programın başvuru koşullarını ve
bu Maddede belirtilen diğer koşulları
sağlayan, normal öğrenim süresi içinde
bulunan, en az bir dönem lisansüstü
programda ders almış olan ve aldığı derslerin
hepsinden başarılı olan öğrencilerin
başvurusu kabul edilir"
"Yatay Geçiş Yolu ile öğrenci Kabulü, eğer tez döneminde geçiş yaparsa","Tez döneminde geçiş yapanlar yeni bir tez konusu önerisi vermek zorundadır"
"Yatay Geçiş Yolu ile öğrenci Kabulü, nasıl kesinleşir","Program yürütme kurulu/anabilim
dalı kurulunun görüşü ve enstitü yönetim
kurulunun kararı ile yatay geçiş kesinleşir"
"Yatay Geçiş Yolu ile öğrenci Kabulü onaylanan öğrenciler","Yatay geçişi kabul edilen öğrencinin, danışmanı ve intibakı için daha önce aldığı derslerden kredi ve başarı notuyla birlikte aktarılacak veya muaf
tutulacak dersler, program yürütme kurulu/anabilim dalı kurulunun önerisi ve enstitü yönetim kurulunun onayıyla kesinlik kazanır"
"Yatay Geçiş Yolu ile öğrenci Kabulü onaylanmayan öğrenciler","Yatay geçişi uygun bulunmayan öğrencilerin ise kabul edilmeme nedeni enstitüye bir rapor ile bildirilir"
"Yatay Geçiş Dışında Yapılacak İntibaklar","Yatay geçiş dışında yapılacak intibaklarda bir
diploma için kullanılmamış olmak koşuluyla bir
öğrencinin; enstitüye kaydolmadan önceki
lisansüstü programlardan alıp başardığı dersler,
enstitünün ders başarı ölçütlerini sağlaması
şartıyla danışmanı ve program yürütme
kurulu/anabilim dalı kurulunun teklifi ve enstitü
yönetim kurulunun kararıyla kayıtlı olduğu
programa kredi ve başarı notuyla birlikte
aktarılabilir veya muaf tutulabilir"
"Doktora Yeterlik Sınavına Nisan-Mayıs 
ve Kasım-Aralık Ayları dışında Girilebilir 
mi?","Cevap: Hayır. Belirtilen aylar dışında kesinlikle
Doktora Yeterlik Sınavına girilemez."
"Doktora Mezuniyeti için Uluslararası 
Sempozyum Sunumu Yeterli midir? ","Cevap: Uluslararası Sempozyumda sunum yapmak sadece 2021-2022 Bahar dönemi öncesinde kayıt yaptıran Doktora öğrencileri için yeterlidir."
"Tez döneminde olan bir öğrenci Yatay 
geçiş başvurusu yapabilir mi?","Cevap: Evet. Lisansüstü Eğitim-Öğretim Yönergesine göre başvuru yapabilir."
"Seminer Sunumu uzaktan Yapılabilir mi?","Cevap: Hayır. Seminer sunumları sadece Yüz yüze yapılabilir"
"Seminer dersinden başarısız olan bir 
öğrencinin ilişiği kesilir mi?","Cevap: Hayır. Başarısız olunması durumunda bir sonraki dönem Seminer dersi yeniden seçilebilir. Dört dönem içerisinde dersin başarılması yeterlidir."
"Bir kredili dersten iki kez başarısız olan 
bir öğrencinin ilişiği kesilir mi?","Cevap: Hayır. Dört dönem içerisinde gerekli sayıda kredili derslerden başarılı olunması yeterlidir."
"Uzmanlık Alanı Dersi Nedir?","Uzmanlık Alan Dersi, danışman tarafından öğrencilere çalışma alanındaki bilimsel özel bilgi ve deneyimler ile güncel konuların ve
gelişmelerin aktarılması, bilimsel ve akademik çalışma disiplininin verilmesi, çalışma alanı ile ilgili literatürü takip yeteneği kazandırılması, bilimsel etik kurallar hakkında bilgilendirilmesi ve benimsetilmesi amacıyla verilen teorik bir derstir."
"Uzmanlık Alanı Dersi, nasıl kayıt yapılır?","Ders her dönem ders kaydı sırasında öğrenci tarafından seçilmelidir."
"ARAŞTIRMADA TEMEL KAVRAMLAR
BİLGİ NEDİR?","Bir konu hakkında öğrenilen veya edinilen
gerçekler, veriler ve anlayışlar bütünüdür.
Bilgi, deneyimler, eğitim, araştırma veya
gözlem yoluyla elde edilebilir."
"BİLGİNİN TEMEL ÖZELLİKLERİ ","1. Doğruluk: Güvenilir kaynaklardan elde edilmiş olması
2. İlgililik: Belirli bir bağlam veya amaç için anlamlı olması
3. Güncellik: Zamanın gereksinimlerine uygun olması
4. Erişilebilirlik: İhtiyaç duyulduğunda ulaşılabilir olması"
"BİLGİNİN TÜRLERİ 1. Gündelik Bilgi:","Günlük yaşam deneyimleri ve gözlemler yoluyla elde edilen, pratik ve deneysel nitelikte bilgidir."
"BİLGİNİN TÜRLERİ 1. Gündelik Bilgi: (Özellikleri)","• Doğrudan deneyim ve gözleme dayanır.
• Genellikle sistematik olmayan bir şekilde edinilir.
• Kişisel ve kültürel bağlama göre şekillenir.
• Zaman içinde değişebilir ve güncellenebilir.
• Hem açık hem de örtük bilgi formlarını içerebilir."
"BİLGİNİN TÜRLERİ 2. Teknik Bilgi:","Belirli bir sistem, süreç, teknoloji veya disipline ait spesifik ve derinlemesine bilgidir."
"BİLGİNİN TÜRLERİ 2. Teknik Bilgi: (Özellikleri)","• Genellikle formal eğitim, özel eğitim veya uzun
süreli deneyim yoluyla edinilir.
• Teorik ve pratik bileşenleri içerir.
• Sürekli güncelleme ve geliştirme gerektirir.
• Çoğunlukla karmaşık ve detaylıdır."
"BİLGİNİN TÜRLERİ 3. Sanat Bilgisi:","Sanatın farklı formları, tarihi, teorileri, teknikleri ve kültürel bağlamı hakkındaki kapsamlı bilgidir."
"BİLGİNİN TÜRLERİ 3. Sanat Bilgisi: (Özellikleri)","• Disiplinlerarası Yapı
• Subjektif ve Objektif Unsurların Birlikteliği
• Kültürel Bağlam Duyarlılığı
• Teorik ve Pratik Bilginin Birleşimi
• Eleştirel Düşünme ve Analiz Gerektirmesi"
"BİLGİNİN TÜRLERİ 3. Sanat Bilgisi:","Evren, insan, varlık, bilgi, ahlak, estetik gibi temel konular hakkında sistematik ve eleştirel düşünme yoluyla elde edilen bilgidir."
"BİLGİNİN TÜRLERİ 3. Felsefi  Bilgisi: (Özellikleri)","• Sorgulayıcı ve eleştirel düşünmeye dayanır
• Kavramsal analiz ve mantıksal çıkarımlar içerir • Genellikle kesin cevaplardan ziyade sorular ve
tartışmalar üretir • Diğer bilgi alanlarının temellerini ve varsayımlarını inceler."
"BİLGİNİN TÜRLERİ 3. Sanat Bilgisi:","Bilimsel yöntem kullanılarak elde edilen, empirik kanıtlara dayanan, sistematik ve organize edilmiş bilgidir."
"BİLGİNİN TÜRLERİ 3. Bilimsel Bilgisi: (Öellikleri)","• Objektif ve tarafsızdır.
• Test edilebilir ve doğrulanabilirdir.
• Sistematik gözlem ve deneylere dayanır.
• Tekrarlanabilirdir.
• Eleştiriye ve düzeltmeye açıktır.
• Kümülatiftir. (birikimli olarak ilerler)"
"BİLİM NEDİR?","1-Bilim, doğal dünyayı ve evreni anlamak,
açıklamak ve öngörmek için sistematik bir
yaklaşım kullanan insan faaliyetidir.
2-Gözlem, deney ve mantıksal çıkarım yoluyla
evren hakkında güvenilir bilgi edinme ve bu
bilgiyi organize etme çabasıdır."
"BİLİMİN DALLARI","• Doğa Bilimleri: Fizik, kimya, biyoloji,
astronomi, jeoloji
• Sosyal Bilimler: Psikoloji, sosyoloji,
ekonomi, antropoloji
• Formel Bilimler: Matematik, mantık,
bilgisayar bilimleri
• Uygulamalı Bilimler: Mühendislik, tıp,
tarım"
"BİLİMİN Doğa DALLI","Doğa Bilimleri: Fizik, kimya, biyoloji, astronomi, jeoloji"
"BİLİMİN Sosyal DALLI","Sosyal Bilimler: Psikoloji, sosyoloji, ekonomi, antropoloji"
"BİLİMİN Formel DALLI","Formel Bilimler: Matematik, mantık, bilgisayar bilimleri"
"BİLİMİN Uygulamalı DALLI","Uygulamalı Bilimler: Mühendislik, tıp, tarım"
"BİLİMSEL YÖNTEM NEDİR?","Bilimsel yöntem, bilim insanlarının doğal
fenomenleri incelemek, hipotezler oluşturmak, test etmek ve sonuçlara ulaşmak için kullandıkları sistematik bir yaklaşımdır."
"BİLİMSEL YÖNTEMİN TEMEL ADIMLARI","a) Gözlem ve Soru Sorma
b) Hipotez Oluşturma
c) Deney Tasarlama ve Uygulama
d) Veri Analizi
e) Sonuçları Yorumlama
f) Sonuçları Raporlama ve Paylaşma"
"BİLİMSEL YÖNTEMİN TEMEL ADIMLARI, örneği","Bilimsel yöntemin temel adımlarını somutlaştırmak için klasik bir örnek olan ""Bitki Büyümesi ve Güneş Işığı"" deneyini kullanabiliriz. Bu örnek, bilimsel yöntemin adımlarını açık bir şekilde gösterecektir:"
